seed,model,test_repo,top1,top5,top10,mrr,map
1,IR+LR,GaloisGirl_Coding,0.06451612710952759,0.20430107414722443,0.3978494703769684,0.1572573035955429,0.1572573035955429
1,IR+RF,GaloisGirl_Coding,0.032258063554763794,0.16129031777381897,0.2688172161579132,0.11828828603029251,0.11828828603029251
1,IR,IBM_example-health-apis,0.10447761416435242,0.23880596458911896,0.41791045665740967,0.2070828378200531,0.2070828378200531
1,IR+LR,IBM_example-health-apis,0.10447761416435242,0.23880596458911896,0.41791045665740967,0.20502309501171112,0.20502309501171112
1,IR+RF,IBM_example-health-apis,0.04477611929178238,0.17910447716712952,0.41791045665740967,0.13826771080493927,0.13826771080493927
1,IR,Martinfx_Cobol,0.1090909093618393,0.27272728085517883,0.4363636374473572,0.21229343116283417,0.21229343116283417
1,IR+LR,Martinfx_Cobol,0.1090909093618393,0.27272728085517883,0.4363636374473572,0.2122325897216797,0.2122325897216797
1,IR+RF,Martinfx_Cobol,0.05454545468091965,0.16363635659217834,0.3272727131843567,0.1443662792444229,0.1443662792444229
1,IR,abrignoli_COBSOFT,0.05882352963089943,0.14705882966518402,0.2647058963775635,0.13772602379322052,0.13772602379322052
1,IR+LR,abrignoli_COBSOFT,0.05882352963089943,0.14705882966518402,0.2647058963775635,0.13452015817165375,0.13452015817165375
1,IR+RF,abrignoli_COBSOFT,0.014705882407724857,0.13235294818878174,0.1764705926179886,0.09586896747350693,0.09586896747350693
1,IR,bhbandam_AZ-Legacy-Engineering,0.09756097197532654,0.3658536672592163,0.5609756112098694,0.2295587658882141,0.2295587658882141
1,IR+LR,bhbandam_AZ-Legacy-Engineering,0.0731707289814949,0.3658536672592163,0.5609756112098694,0.21899300813674927,0.21899300813674927
1,IR+RF,bhbandam_AZ-Legacy-Engineering,0.024390242993831635,0.2195121943950653,0.46341463923454285,0.15558147430419922,0.15558147430419922
1,IR,bmcsoftware_vscode-ispw,0.04651162773370743,0.1860465109348297,0.3488371968269348,0.14281001687049866,0.14281001687049866
1,IR+LR,bmcsoftware_vscode-ispw,0.04651162773370743,0.1860465109348297,0.3720930218696594,0.1426970511674881,0.1426970511674881
1,IR+RF,bmcsoftware_vscode-ispw,0.0,0.06976744532585144,0.20930232107639313,0.07276378571987152,0.07276378571987152
1,IR,debinix_openjensen,0.032258063554763794,0.19354838132858276,0.4354838728904724,0.15015429258346558,0.15015429258346558
1,IR+LR,debinix_openjensen,0.032258063554763794,0.20967741310596466,0.4354838728904724,0.15064378082752228,0.15064378082752228
1,IR+RF,debinix_openjensen,0.06451612710952759,0.22580644488334656,0.4193548262119293,0.17126838862895966,0.17126838862895966
1,IR,gbeine_COBOLUnit,0.04651162773370743,0.20930232107639313,0.27906978130340576,0.14224325120449066,0.14224325120449066
1,IR+LR,gbeine_COBOLUnit,0.04651162773370743,0.20930232107639313,0.27906978130340576,0.14240047335624695,0.14240047335624695
1,IR+RF,gbeine_COBOLUnit,0.04651162773370743,0.11627907305955887,0.25581395626068115,0.10340578854084015,0.10340578854084015
1,IR,lucasrmagalhaes_learning-COBOL,0.04123711213469505,0.20618556439876556,0.3298968970775604,0.14064209163188934,0.14064209163188934
1,IR+LR,lucasrmagalhaes_learning-COBOL,0.05154639109969139,0.20618556439876556,0.3195876181125641,0.14532770216464996,0.14532770216464996
1,IR+RF,lucasrmagalhaes_learning-COBOL,0.04123711213469505,0.10309278219938278,0.2164948433637619,0.11300747841596603,0.11300747841596603
1,IR,neopragma_cobol-unit-test,0.06779661029577255,0.3050847351551056,0.5932203531265259,0.19498123228549957,0.19498123228549957
1,IR+LR,neopragma_cobol-unit-test,0.050847455859184265,0.3050847351551056,0.5932203531265259,0.18568111956119537,0.18568111956119537
1,IR+RF,neopragma_cobol-unit-test,0.016949152573943138,0.18644067645072937,0.38983049988746643,0.14593695104122162,0.14593695104122162
1,IR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.5714285969734192,0.5714285969734192,0.2606060802936554,0.2606060802936554
1,IR+LR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.5714285969734192,0.5714285969734192,0.2606060802936554,0.2606060802936554
1,IR+RF,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.1428571492433548,0.4285714328289032,0.5714285969734192,0.3340986371040344,0.3340986371040344
1,IR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
1,IR+LR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
1,IR+RF,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
1,IR,ve3wwg_cobcurses,0.008928571827709675,0.0714285746216774,0.1785714328289032,0.06711535155773163,0.06711535155773163
1,IR+LR,ve3wwg_cobcurses,0.008928571827709675,0.0625,0.1875,0.07001369446516037,0.07001369446516037
1,IR+RF,ve3wwg_cobcurses,0.01785714365541935,0.0446428582072258,0.0625,0.05595109984278679,0.05595109984278679
1,IR,z390development_z390,0.021739130839705467,0.1304347813129425,0.2246376872062683,0.09531416743993759,0.09531416743993759
1,IR+LR,z390development_z390,0.021739130839705467,0.1304347813129425,0.21739129722118378,0.09392747282981873,0.09392747282981873
1,IR+RF,z390development_z390,0.014492753893136978,0.07971014827489853,0.18840579688549042,0.07473351061344147,0.07473351061344147
